,Tên tiếng việt,Tên tiếng anh,Ngành tiếng việt,Mô tả,Ví dụ về nơi làm việc,Work/ Life Balance,Career Opportunity,Avg Salary,Skill,O*NET-SOC Code,Group
55,Nghệ sĩ Mỹ thuật,Fine Artists,Năng khiếu nghệ thuật,"Nghệ sĩ Mỹ thuật là người tạo ra các tác phẩm nghệ thuật thông qua các phương tiện khác nhau như màu vẽ, điêu khắc, nhiếp ảnh, sắp đặt vật thể… Nghệ sĩ Mỹ thuật có khả năng biến ý tưởng, suy nghĩ, thông điệp thành hình dạng cụ thể cho người khác thưởng thức.","• Hành nghề tự do • Mở studio riêng • Giảng dạy tại các trường Mỹ thuật, trung tâm văn hóa nghệ thuật • Giảng dạy môn Mỹ thuật tại các trường phổ thông • Dạy và hỗ trợ trẻ có nhu cầu đặc biệt tại trường khuyết tật",1,1,1,"[3.25, 3.12, 2.88,  2.5, 3.25,  1.0,  2.0,  1.0, 1.75,  3.0, 2.38,  2.0, 1.88, 
 1.75, 2.12, 2.75,  2.0, 2.12, 2.62, 2.38, 2.38, 1.62, 2.38,  3.0,  1.0,  1.0, 
  2.5, 2.88,  3.0, 2.25, 2.12, 1.62, 2.88, 1.88, 2.88]",27-1013.00,10
56,Y tá,Nurse,Chăm sóc sức khỏe,"Y tá hỗ trợ các bác sĩ khi họ thực hiện nhiệm vụ và phục vụ các bệnh nhân bị ốm, bị thương hoặc khuyết tật. Trong các y tá có hộ sinh là người hỗ trợ quá trình sinh nở, chăm sóc bà mẹ và trẻ em trước và sau khi sinh, hướng dẫn gia đình trong việc chăm sóc bà mẹ và trẻ sơ sinh.","• Bệnh viện • Phòng khám • Trung tâm phục hồi chức năng • Trung tâm y tế cộng đồng • Các cơ quan quản lí Nhà nước về y tế • Các trường ĐH, CĐ và TC y",0,1,0,"[3.68, 4.03, 3.63, 3.85, 3.95,  1.0, 1.48, 1.05, 3.35,  3.8, 3.25, 1.87,  2.0, 
 2.88, 2.78,  3.9, 3.07,  2.3, 2.05,  2.8, 3.08, 1.55, 2.28, 3.93, 1.02, 2.85, 
  4.0, 4.07, 3.98, 3.05, 2.98,  1.8, 3.35, 1.75, 3.55]",29-1141.00,3
57,Nha sĩ,Dentist,Chăm sóc sức khỏe,"Các nha sĩ, còn gọi là bác sĩ nha khoa, điều trị các bệnh và các rối loạn răng, nướu và mô mềm của miệng.","• Các bệnh viện nha khoa hoặc khoa răng, hàm, mặt trong bệnh viện • Các phòng khám nha khoa • Các viện nha khoa thẩm mĩ • Mở phòng khám riêng",1,2,2,"[3.88,  4.0,  4.0, 3.75, 4.12,  1.5, 2.38, 1.25, 3.25, 4.12, 3.12,  3.0,  3.0, 
  3.5, 2.75,  4.0, 3.12, 2.88, 2.38, 2.75, 3.75, 1.62, 2.75,  4.0, 1.38, 3.75, 
 3.88, 3.88,  4.0, 2.88, 2.75,  2.0, 3.88,  2.0, 3.25]",29-1021.00,14
58,Chuyên gia phục hồi chức năng nghề nghiệp,Occupational Therapist,Chăm sóc sức khỏe,"Chuyên gia phục hồi chức năng nghề nghiệp giúp đỡ bệnh nhân trong quá trình phục hồi nghề nghiệp sau khi bị bệnh hoặc tai nạn bằng cách đưa họ tham gia các công việc mang tính sáng tạo, nghề nghiệp hoặc thủ công như làm vườn, tập thể dục, trò chơi và âm nhạc theo hướng dẫn của bác sĩ.",• Bệnh viện • Cơ sở chăm sóc sức khỏe cộng đồng • Trường học • Trung tâm phục hồi chức năng,1,1,2,"[3.88, 4.12, 3.25, 3.75,  4.0,  1.0, 1.25,  1.0,  4.0,  4.0, 3.88, 2.25, 2.12, 
  3.0,  2.0, 4.12,  3.0, 1.62, 3.12, 2.12,  3.0, 1.75, 2.12,  4.0,  1.0, 2.75, 
 4.12,  4.0,  4.0, 3.12, 3.12, 1.88, 3.75, 1.88,  4.0]",29-1122.00,11
59,Chuyên gia vật lí trị liệu,Physiotherapist,Chăm sóc sức khỏe,"Chuyên gia vật lí trị liệu tiến hành trị liệu các rối loạn về xương, cơ và các bộ phận của hệ tuần hoàn hoặc hệ thần kinh. Khách hàng của họ bao gồm những người khuyết tật, bị bệnh tâm thần, người già và những người đang phục hồi sau bệnh tật, tai nạn hoặc phẫu thuật.","• Bệnh viện, cơ sở y tế • Trung tâm phục hồi chức năng • Câu lạc bộ thể thao, đội thể thao • Phòng khám thể thao • Phòng tập gym, trung tâm thể dục • Phòng khám riêng",1,1,2,"[3.12,  4.0, 3.38, 3.25,  4.0, 1.38, 1.75, 1.12, 3.38, 3.75, 3.12,  2.0,  2.0, 
 2.88, 2.12, 3.88,  3.0,  2.0, 2.75, 2.25,  3.0, 1.62,  2.0,  4.0, 1.38, 2.62, 
  4.0,  4.0,  4.0, 3.12, 3.12, 1.88, 3.62,  2.0, 3.88]",29-1128.00,11
60,Chuyên gia dinh dưỡng,Dietitians,Chăm sóc sức khỏe,"Chuyên gia dinh dưỡng tiến hành nghiên cứu, cải tiến và phát triển các khái niệm, phương pháp thực hiện liên quan đến việc chuẩn bị, áp dụng các chế độ ăn uống cho điều trị và các mục đích khác",• Bệnh viện hoặc nhà dưỡng lão • Trường học hoặc các tổ chức • Khách sạn • Chính quyền địa phương hoặc các cơ quan Nhà nước • Trung tâm nghiên cứu • Ngành công nghiệp thực phẩm,1,1,2,"[3.62,  4.0, 3.88, 3.75,  4.0,  1.0,  1.0,  1.0, 3.75,  4.0, 3.75, 2.75, 2.75, 
 2.88,  3.0, 3.88, 3.12,  1.0, 3.12, 1.88, 3.38, 1.75, 2.88,  4.0,  1.0, 3.25, 
 3.88,  4.0,  4.0, 3.12, 3.25, 1.75, 3.25,  1.5, 3.88]",29-1031.00,11
61,Bác sĩ trị liệu ngôn ngữ,Speech Therapist,Chăm sóc sức khỏe,"Bác sĩ thính học và đặc trị các khuyết tật về ngôn ngữ xác định loại và mức độ khuyết tật ảnh hưởng đến chức năng nghe, nói, giao tiếp và nhai nuốt của con người. Họ chỉ định phương tiện hỗ trợ, thực hiện liệu pháp phục hồi chức năng và tư vấn cho bệnh nhân.",• Bệnh viện tư nhân và Nhà nước • Trung tâm phục hồi chức năng • Phòng thí nghiệm nghiên cứu phát triển các phương pháp mới để chẩn đoán và điều trị các vấn đề liên quan đến thính giác và lời nói • Mở phòng khám của riêng bạn,2,2,2,"[3.39,  4.0, 3.31, 3.27, 3.65, 1.42, 1.61, 1.01,  3.3, 3.42,  3.2, 1.71, 1.83, 
  2.7, 2.17, 3.62, 2.83, 1.81, 2.25, 2.24,  3.0,  1.5, 2.11, 3.69, 1.29, 2.29, 
  3.7, 3.84, 3.81, 2.83, 2.82, 1.87, 3.17, 1.82, 3.48]",29-1127.00,22
62,Bác sĩ thính học,Audiologist,Chăm sóc sức khỏe,"Bác sĩ thính học và đặc trị các khuyết tật về ngôn ngữ xác định loại và mức độ khuyết tật ảnh hưởng đến chức năng nghe, nói, giao tiếp và nhai nuốt của con người. Họ chỉ định phương tiện hỗ trợ, thực hiện liệu pháp phục hồi chức năng và tư vấn cho bệnh nhân.",• Bệnh viện tư nhân và Nhà nước • Trung tâm phục hồi chức năng • Phòng thí nghiệm nghiên cứu phát triển các phương pháp mới để chẩn đoán và điều trị các vấn đề liên quan đến thính giác và lời nói • Mở phòng khám của riêng bạn,1,0,2,"[ 4.0, 4.12, 3.62, 3.38,  4.0, 2.12, 2.12, 1.25, 3.12, 3.75, 3.38, 1.88, 1.88, 
 2.88, 2.88, 3.75, 2.88, 2.12, 2.88,  3.0, 3.12, 1.75,  3.0, 4.12, 2.12,  3.0, 
 3.62,  4.0,  4.0, 3.12, 3.12, 1.88, 3.25, 2.12,  4.0]",29-1181.00,8
63,Giáo viên mầm non,Pre-School Teacher,Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Công tác giảng dạy đòi hỏi chuyên môn theo các nhóm tuổi học sinh. Giáo viên mầm non dạy trẻ em từ 3 đến 6 tuổi. Đây là giai đoạn đặt nền móng cho việc học tập và là giai đoạn quan trọng đối với quá trình giáo dục một con người.,"• Các trường và lớp mầm non • Tổ chức giáo dục dành riêng cho giáo dục mầm non • Trường sư phạm • Bệnh viện nhi đồng • Tư vấn, cộng tác viên cho các tổ chức tình nguyện, phi chính phủ, tổ chức quốc tế có chương trình vì trẻ em hoặc giáo dục mầm non",0,0,0,"[3.12, 3.88,  3.0, 3.75, 3.75,  1.0, 1.38,  1.0,  4.0, 3.12, 3.88,  1.5,  2.0, 
 2.88,  2.0, 3.75, 2.88,  1.0, 1.75, 1.75,  3.0,  1.0,  2.0, 3.75,  1.0, 1.62, 
 3.62, 3.75,  4.0,  2.5, 2.75,  1.5,  3.0, 1.75,  3.0]",25-2011.00,0
64,Giáo viên tiểu học,Primary School Teacher,Khoa học giáo dục và Đào tạo Giáo viên sư phạm,"Công tác giảng dạy đòi hỏi chuyên môn theo các nhóm tuổi học sinh. Giáo viên tiểu học dạy trẻ em từ lớp 1 đến lớp 5. Họ chủ yếu tập trung xây dựng cơ sở vững chắc cho kĩ năng đọc, viết, tính toán cùng với các kĩ năng khác như thể chất, tâm lí, trí tuệ và xã hội.","• Các trường tiểu học công lập • Các trường tiểu học tư thục • Các tổ chức tình nguyện • Trung tâm học tập cộng đồng • Tư vấn, cộng tác viên cho các tổ chức tình nguyện, phi chính phủ, tổ chức quốc tế có chương trình vì trẻ em hoặc giáo dục, ví dụ như UNESCO, UNICEF",0,0,0,"[3.75,  4.0, 3.25, 3.88,  4.0,  1.0,  1.5,  1.0, 4.25, 3.75, 4.12, 1.12, 1.75, 
 2.75, 2.88, 3.88,  3.0, 1.38,  2.0, 1.75,  3.0,  1.5,  2.0,  4.0,  1.0, 2.12, 
 3.62, 3.88, 4.25, 3.12, 3.12, 1.75,  3.5, 1.25, 3.88]",25-2021.00,0
65,Giáo viên giáo dục đặc biệt,Special Education Teacher,Khoa học giáo dục và Đào tạo Giáo viên sư phạm,"Giáo viên giáo dục đặc biệt dạy cho trẻ em, thanh thiếu niên, người lớn có khuyết tật về thể chất hay trí tuệ, hoặc những người có khó khăn về học tập.","• Các tổ chức cung cấp dịch vụ liên quan đến khuyết tật (ví dụ: trường chuyên biệt cho trẻ khiếm thị, khiếm thính…) • Các trường phổ thông cung cấp dịch vụ hòa nhập cho trẻ em có nhu cầu đặc biệt • Các hội, tổ chức của người khuyết tật • Các tổ chức tình nguyện, phi chính phủ, tổ chức quốc tế có chương trình hỗ trợ người khuyết tật ví dụ như Tổ chức Hỗ trợ Người khuyết tật Việt Nam (VNAH) • Trợ giúp trong các hoạt động, sự kiện của người khuyết tật như giải thể thao, Thế vận hội cho người khuyết tật, Paragames • Tư vấn cho các công ti, doanh nghiệp có chương trình hỗ trợ, hòa nhập, tuyển dụng người khuyết tật",0,1,1,"[3.67,  4.0, 3.54, 3.63, 3.84,  1.0, 1.12,  1.0, 3.91, 3.54, 3.96, 1.54, 1.71, 
 2.79, 2.54, 3.79, 3.04, 1.04, 1.75, 1.75, 3.17, 1.67, 1.75, 3.92,  1.0, 1.83, 
 3.79, 3.92, 4.08, 2.96, 2.96, 1.62, 3.58, 1.25, 3.83]",,4
66,Quản lí bán hàng,Sales Manager,Kinh doanh và Quản lý,"Nhà quản lí bán hàng và marketing lập kế hoạch, chỉ đạo và điều phối hệ thống phân phối nhằm đảm bảo hàng hóa của doanh nghiệp đến nhà kho, cửa hàng và cuối cùng là đến với người tiêu dùng","• Các doanh nghiệp Nhà nước và tư nhân kinh doanh thương mại (bán lẻ hoặc bán buôn trong nước, xuất nhập khẩu) • Bộ phận bán hàng tiếp thị của các doanh nghiệp sản xuất • Các doanh nghiệp kinh doanh dịch vụ như giáo dục, y tế, tài chính, tư vấn môi giới, cho thuê…",1,2,2,"[3.75,  4.0, 3.75, 3.88, 3.88,  1.0,  1.0,  1.0, 3.62, 3.75, 3.25,  3.0, 2.88, 
 3.75,  3.0, 3.75, 3.88, 1.75, 2.62, 1.75, 4.12, 1.62, 1.75, 3.88,  1.0, 1.62, 
 3.88, 3.88,  4.0, 3.62, 3.62, 1.75,  3.5,  1.0, 3.62]",11-2022.00,14
67,Quản lí marketing,Marketing Manager,Kinh doanh và Quản lý,"Nhà quản lí bán hàng và marketing lập kế hoạch, chỉ đạo và điều phối hệ thống phân phối nhằm đảm bảo hàng hóa của doanh nghiệp đến nhà kho, cửa hàng và cuối cùng là đến với người tiêu dùng","• Các doanh nghiệp Nhà nước và tư nhân kinh doanh thương mại (bán lẻ hoặc bán buôn trong nước, xuất nhập khẩu) • Bộ phận bán hàng tiếp thị của các doanh nghiệp sản xuất • Các doanh nghiệp kinh doanh dịch vụ như giáo dục, y tế, tài chính, tư vấn môi giới, cho thuê…",2,2,2,"[3.88, 3.88, 3.62,  3.5, 3.88,  1.0,  1.0,  1.0,  3.0, 3.75, 3.12, 2.88, 2.62,
 3.38, 2.75, 3.75, 3.62,  1.0, 3.38, 1.75, 3.75, 1.88, 1.88, 3.88,  1.0, 1.75,
 3.12, 3.88, 3.88, 3.25,  3.5, 1.75,  3.5,  1.0, 3.25]",11-2021.00,22
68,"Quản lí khách sạn, nhà hàng",Hotel Manager,"Du lịch, khách sạn, thể thao và dịch vụ cá nhân","Quản lí khách sạn, nhà hàng lập kế hoạch, chỉ đạo và phối hợp các hoạt động kinh doanh của khách sạn, nhà hàng theo lĩnh vực chuyên môn. Họ có thể quản lí chung hoặc chuyên về một nghiệp vụ như tiền sảnh (đặt phòng cho khách ở khách sạn), nhà hàng Âu, nhà hàng Á, quầy đồ uống, quán cà phê (chuẩn bị và phục vụ đồ ăn, uống cho khách), buồng phòng (đảm bảo dịch vụ buồng, phòng cho khách), bếp nóng, bếp nguội, bếp bánh (mua nguyên liệu và chế biến món ăn cho khách)... Nhiệm vụ cụ thể của quản lí khách sạn, nhà hàng thay đổi tùy theo bộ phận mà người đó phụ trách.","• Khách sạn • Khu Resorts • Khu du lịch y tế • Khu du lịch nghỉ dưỡng • Hãng hàng hải, hàng không • Dịch vụ nhà khách ở các công ti",0,1,2,"[3.75, 4.12, 3.75, 3.88, 3.75, 1.38, 1.38,  1.0, 3.75, 3.75, 3.38, 2.88,  3.0, 
  4.0, 2.62, 3.75, 3.88, 2.12, 1.75, 2.38, 3.75, 1.62, 2.62, 3.88, 1.38,  1.0, 
 4.12,  4.0,  4.0, 3.12, 3.38, 1.88, 3.75, 1.88, 3.88]",11-9081.00,5
69,Quản lí nông nghiệp,Agriculture Manager,"Nông, Lâm nghiệp, Thủy sản","Nhà quản lí nông nghiệp là người làm chủ hoặc đại diện cho chủ sở hữu các trang trại, nông trường. Họ chịu trách nhiệm quản lí chung, lập kế hoạch, chỉ đạo và điều phối các hoạt động sản xuất kinh doanh.","• Làm việc trong các trang trại tư nhân và Chính phủ liên quan đến sản xuất, lưu kho và tiếp thị • Làm việc cho các công ty liên quan đến nông nghiệp- kinh doanh, chế biến thực phẩm, sản xuất giống và cung cấp dịch vụ tư vấn cho ngành nông nghiệp • Làm việc trong các tổ chức quốc tế với vai trò tư vấn",0,1,2,"[3.29, 3.58, 3.42,  3.5, 3.88, 2.13, 2.21, 1.08, 3.21, 3.75, 3.04, 2.88, 2.83, 
  3.5, 2.71, 3.79, 3.25, 2.87, 2.37, 3.13, 3.25, 1.63, 2.96, 3.46, 2.08, 2.88, 
 2.87, 3.33, 3.87, 3.08, 3.16, 1.75, 3.63, 2.38, 3.17]",11-9013.02,5
70,Quản lí nhân sự,Human Resource Manager,Kinh doanh và Quản lý,"Nhà quản lí nhân sự lập kế hoạch, điều phối các hoạt động của một tổ chức để thực hiện chiến lược nhân lực một cách tốt nhất.","• Tất cả các doanh nghiệp vừa và lớn đều cần nhà quản lí nhân sự • Các doanh nghiệp, công ty tư vấn tuyển dụng, nhân sự",2,2,2,"[3.75, 4.12, 3.88, 3.88, 3.75,  1.0,  1.0,  1.0, 3.38,  4.0, 3.25, 2.88, 2.38, 
 4.12, 2.62, 3.62, 3.88, 1.25, 2.25, 1.75, 3.62, 1.75, 1.62,  4.0,  1.0, 1.62, 
 3.38, 3.88, 4.12, 3.62, 3.75, 1.75, 3.62,  1.0, 3.88]",11-3121.00,22
71,Chuyên gia dịch vụ pháp lí,Kỹ sư môi trường,Pháp luật,"Chuyên gia dịch vụ pháp lí, còn gọi là thư kí luật, sử dụng kiến thức chuyên môn để trợ giúp các chuyên gia pháp lí trong thông tin liên lạc, tài liệu, hỗ trợ nội bộ, hỗ trợ thủ tục và các hoạt động phối hợp quản lí nội bộ trong các văn phòng luật sư, ban pháp chế của các doanh nghiệp lớn và các cơ quan Nhà nước. Họ cũng có thể hỗ trợ các nhà quản lí, chuyên gia pháp lí, các chuyên gia kinh tế có liên quan đến các vấn đề pháp lí, bao gồm cả những người có liên quan đến hợp đồng bảo hiểm, cho vay vốn và các giao dịch tài chính khác",• Các văn phòng luật • Ban pháp chế của các doanh nghiệp lớn • Chính phủ,2,1,0,"[2.75, 3.75, 2.88,  3.0, 3.12,  1.0,  1.0,  1.0,  2.0, 2.75, 2.25, 1.25, 1.12, 
  2.0,  2.0,  3.0, 2.38,  1.0, 1.12,  2.0, 2.75, 1.38, 2.12, 3.88,  1.0,  1.0, 
 2.75,  3.0, 3.75,  2.0,  2.0,  1.0, 3.25,  1.0, 3.88]",43-6012.00,17
72,Nhà tâm lí học,Psychologist,Khoa học xã hội và hành vi,"Nhà tâm lí học nghiên cứu các quá trình tâm lí và hành vi của cá nhân hoặc nhóm người. Họ áp dụng kiến thức này để thúc đẩy, điều chỉnh sự phát triển của cá nhân, xã hội, giáo dục hoặc nghề nghiệp","• Bệnh viện • Các công ti, nhà máy và ngành công nghiệp • Các tổ chức giáo dục • Dịch vụ quốc phòng • Hành nghề cá nhân",2,2,2,"[3.66, 4.34, 3.79, 3.54, 4.13,  1.0, 1.08,  1.0, 3.25, 3.87, 3.46, 1.71, 1.71, 
 2.87, 2.79, 3.92, 3.17, 1.04, 2.21, 1.79,  3.5, 2.04, 1.67, 4.33,  1.0, 2.67, 
 3.54, 4.04, 4.21, 3.33, 3.29, 1.66, 3.42, 1.04,  4.0]",19-3031.02,22
73,Nhà tư vấn tâm lí,Counsellor,Khoa học xã hội và hành vi,"Nhà tư vấn tâm lí hướng dẫn hoặc tư vấn cho các cá nhân nhằm giúp họ đối phó với những khó khăn về tâm lí, tình cảm và căng thẳng liên quan đến cuộc sống hàng ngày. Những khó khăn đó có thể liên quan đến học tập, nghề nghiệp, hôn nhân, cuộc sống gia đình và phát triển cá nhân","• Các phòng khám và bệnh viện, làm việc với những người trong tình trạng suy sụp tinh thần • Các cơ sở giáo dục, hỗ trợ tư vấn học đường • Các doanh nghiệp, nhà máy, giúp nhân viên đối phó tốt hơn với căng thẳng liên quan tới công việc • Các tổ chức phi chính phủ, tổ chức quốc tế liên quan tới trẻ em, thanh niên, người tàn tật, người già, phụ nữ, người nghiện ma túy và thích • Hành nghề cá nhân",0,0,1,"[ 3.5, 4.75, 3.62, 3.25, 3.75,  1.0,  1.0,  1.0, 3.12, 3.88, 3.25, 1.62, 1.62, 
 2.88,  2.0, 3.88, 3.12,  1.0, 2.75, 1.62,  3.5, 1.62, 1.88, 4.12,  1.0, 2.88, 
  4.0, 4.88, 4.25, 3.12, 3.25, 1.62,  3.0,  1.0,  4.0]",19-3031.03,1
74,Nhà tư vấn nghề nghiệp,Career Counsellor,Khoa học xã hội và hành vi,"Nhà tư vấn nghề nghiệp áp dụng các nguyên tắc tâm lí học nghề nghiệp để giúp khách hàng hiểu bản thân mình, hiểu thế giới nghề nghiệp, xây dựng các phương án chọn nghề và chuẩn bị cho nghề nghiệp. Họ phỏng vấn khách hàng, cho làm bản câu hỏi và xác định năng lực hướng nghiệp, cung cấp thông tin về các nghề nghiệp khác nhau. Họ làm việc với khách hàng vào những thời điểm quan trọng trong việc quyết định nghề nghiệp (ví dụ như cuối trung học phổ thông, trung học cơ sở, sau khi tốt nghiệp các cơ sở đào tạo). Họ cũng có thể giúp những người đang có vấn đề về nghề nghiệp (ví dụ như những người không thích nghề của mình, người mất việc làm). Họ có thể tư vấn cá nhân hoặc tư vấn nhóm.","• Trung tâm dịch vụ việc làm, tư vấn nghề nghiệp • Cơ quan Nhà nước về lao động • Các phòng khám tâm lí • Trung tâm phục hồi chức năng • Trường học • Các tổ chức phát triển thanh thiếu niên • Các tổ chức phát triển, phi chính phủ, tổ chức quốc tế",2,1,1,"[3.88, 4.38, 3.88, 3.88,  4.0,  1.0,  1.0,  1.0, 3.88, 3.88, 3.75,  1.5,  1.5, 
  3.0, 2.12, 3.75, 3.75,  1.0, 1.12, 1.88, 3.88, 1.75, 1.12, 4.12,  1.0, 1.62, 
 4.12, 4.25, 4.25, 3.25, 3.12, 1.75, 3.38,  1.0,  4.0]",21-1012.00,18
75,Kĩ thuật viên chẩn đoán hình ảnh,Medical Technologist: Medical Imaging,Chăm sóc sức khỏe,"Kĩ thuật viên chẩn đoán hình ảnh phụ trách các thiết bị chẩn đoán hình ảnh trợ giúp các bác sĩ xác định về tình trạng bệnh tật có thể có của bệnh nhân, như máy X quang, điện tim, siêu âm, nội soi, chụp cắt lớp, cộng hưởng từ… Người làm nghề này hiểu về cơ thể con người, điều kiện y tế và chăm sóc bệnh nhân. Họ cũng nắm vững cách vận hành thiết bị và lưu giữ hồ sơ.",• Bệnh viện • Các phòng thí nghiệm y tế • Các trường đào tạo về y tế • Trung tâm nghiên cứu,0,0,1,"[3.38, 3.88, 3.12, 3.25,  3.5, 2.62, 2.25,  1.0,  3.0, 3.12,  3.0, 1.75, 1.88, 
 2.75, 2.12,  3.5,  2.5, 3.12,  2.0, 3.12,  3.0, 1.25, 2.75, 3.75, 2.12, 3.25, 
 3.12, 3.75, 3.75, 2.38, 2.12,  2.0, 3.38, 2.25, 3.25]",29-2034.00,1
76,Đại lí bảo hiểm,Insurance Agent,Kinh doanh và Quản lý,"Đại lí bảo hiểm bán bảo hiểm nhân thọ, tai nạn, ô tô, trách nhiệm dân sự, hỏa hoạn, hàng hải và sản phẩm bảo hiểm khác cho các khách hàng mới và khách hàng hiện hữu",• Các công ty bảo hiểm tư nhân hoặc Nhà nước,1,1,0,"[ 3.0, 3.88, 2.88,  3.0, 3.75,  1.0,  1.0,  1.0, 2.62,  3.0, 2.75, 1.25, 1.12, 
  2.0,  3.0, 2.88, 3.25, 1.75, 1.88, 1.75, 3.62, 1.75, 1.12,  4.0,  1.0, 1.12, 
 3.38, 3.12, 3.88, 2.75, 2.75, 1.75,  3.5,  1.0, 3.62]",41-3021.00,9
77,Chuyên gia quản trị bất động sản,Real Estate Administrator,Kinh doanh và Quản lý,"Chuyên gia quản trị bất động sản, còn gọi là đại lí bất động sản và quản lí tài sản, thay mặt khách hàng sắp xếp việc mua, bán, cho thuê bất động sản, tài sản và hưởng lợi trên cơ sở nhận hoa hồng từ các thương vụ thực hiện được.",• Các công ty bất động sản • Tự mở công ty bất động sản,2,2,1,"[ 3.0, 3.75, 3.12, 3.62,  3.5,  1.0, 1.12,  1.0, 2.75, 3.12, 2.75,  3.0, 2.88,
 3.12,  3.0, 3.12,  3.5,  1.5, 2.12, 1.75, 3.25,  1.5,  2.0, 3.88,  1.0, 1.38,
  3.0, 3.25,  4.0, 2.12, 2.12, 1.25,  3.0, 1.62, 3.62]",11-9141.00,21
78,Nhân viên công tác xã hội,Social Worker,Dịch vụ xã hội,"Nhân viên công tác xã hội làm việc với các nhóm và cộng đồng. Họ tìm hiểu các vấn đề xã hội, hướng dẫn cho đối tượng gặp khó khăn trong các vấn đề xã hội và vấn đề liên quan nhằm giúp họ tìm kiếm và sử dụng các nguồn lực để vượt qua khó khăn và đạt được mục tiêu cụ thể.","• Các tổ chức phi chính phủ, tổ chức tình nguyện, tổ chức quốc tế có chương trình hỗ trợ xã hội, phát triển cộng đồng • Trung tâm cộng đồng • Bệnh viện • Các doanh nghiệp có chương trình trách nhiệm xã hội của doanh nghiệp (CSR) • Các tổ chức, đoàn thể có chức năng chăm sóc, bảo trợ xã hội cho hội viên, khách hàng như đoàn thanh niên, hội phụ nữ, hội người khuyết tật…",0,0,0,"[3.38, 4.88, 3.88, 3.75, 4.12,  1.0,  1.0,  1.0, 3.12,  4.0, 3.12, 1.38, 1.38, 
 2.88,  2.0, 3.88, 3.75,  2.0, 2.62, 2.12, 3.75, 1.38, 1.75,  4.0,  1.0, 2.25, 
  4.0, 4.12,  4.5, 3.12, 2.88,  1.5, 3.75,  1.5, 3.75]",21-1021.00,0
79,Đại lí du lịch và lữ hành,Travel and Tourism Agent,"Du lịch, khách sạn, thể thao và dịch vụ cá nhân","Đại lí du lịch và lữ hành tiến hành tư vấn và tổ chức tour du lịch, lập kế hoạch hành trình và lịch trình đi lại, ăn nghỉ cho khách du lịch, tổ chức hoặc bán tour du lịch trọn gói cho khách.",• Trong các bộ phận du lịch của các công ty và cơ quan Nhà nước • Đại lí du lịch • Khu resort và nghỉ dưỡng • Các hãng hàng không • Các tổ chức liên quan đến du lịch,1,0,0,"[3.12, 4.12,  3.0, 3.12, 3.12,  1.0, 1.12,  1.0, 2.62, 3.38,  2.5, 2.12, 1.75, 
 1.88, 2.88,  3.0, 3.12, 1.62, 1.75, 1.75, 3.62, 1.75, 1.25,  4.0,  1.0, 1.25, 
 4.12, 3.75,  4.0, 2.38, 2.25, 1.75,  3.0,  1.0, 3.12]",41-3041.00,6
80,Tiếp viên hàng không hoặc tiếp viên trên phương tiện vận tải,Flight Attendants,"Du lịch, khách sạn, thể thao và dịch vụ cá nhân","Tiếp viên, còn gọi là chiêu đãi viên, là người trực tiếp cung cấp dịch vụ cá nhân nhằm đảm bảo sự an toàn và thoải mái của hành khách. Họ phục vụ bữa ăn, đồ uống trên máy bay và trên tàu.","• Các hãng hàng không trong nước và quốc tế • Các sân bay • Các tàu du lịch, du thuyền • Các chuyến xe lửa cao cấp và xe buýt du lịch",1,1,0,"[3.12, 3.88, 2.88, 3.62, 3.12,  1.0,  1.0,  1.0, 2.88,  3.0, 2.75, 1.88, 1.88, 
  2.5,  2.0, 3.88, 2.88,  2.0, 1.62, 2.38,  3.0, 1.38, 2.12, 3.12,  1.0, 1.38, 
 3.75, 3.75, 4.12,  2.0,  2.0, 1.75, 3.12,  2.0,  3.0]",53-2031.00,9
81,Đầu bếp,Cook,,"Thợ đầu bếp chế biến và làm các món ăn, hiểu biết về dinh dưỡng, đảm bảo các món ăn ngon, an toàn thực phẩm và đầy đủ chất dinh dưỡng cần thiết.","• Các nhà hàng, khách sạn • Các bếp ăn lớn • Các khu du lịch, nghỉ dưỡng, resort • Các tổ chức, tập đoàn, cơ quan, công ty phục vụ nhiều công nhân, nhân viên",0,0,0,"[3.12, 3.75, 3.25,  4.0, 3.75,  2.0, 2.12,  1.0, 3.25, 3.62, 3.12,  3.0, 3.12, 
 3.62, 3.12, 3.88, 3.25, 2.25,  2.5,  3.0, 3.12,  1.5, 3.25, 3.12, 1.88, 1.62, 
 3.38, 3.62, 3.88,  3.0, 2.88, 1.75, 3.88,  2.0, 3.12]",35-1011.00,0
